
#    C     rij_AA    ds_harm
0.0000 1.1547 3.08676
0.0100 1.15746 3.08675
0.0200 1.15193 3.08672
0.0300 1.15054 3.08668
0.0400 1.14915 3.08662
0.0500 1.14775 3.08654
0.0600 1.14635 3.08645
0.0700 1.14495 3.08634
0.0800 1.14354 3.08621
0.0900 1.14213 3.08606
0.1000 1.14071 3.0859
0.1100 1.13929 3.08572
0.1200 1.13787 3.08552
0.1300 1.13644 3.08531
0.1400 1.13501 3.08508
0.1500 1.13358 3.08483
0.1600 1.13214 3.08456
0.1700 1.1307 3.08428
0.1800 1.12926 3.08398
0.1900 1.12781 3.08366
0.2000 1.12636 3.08333
0.2100 1.1249 3.08298
0.2200 1.12345 3.08261
0.2300 1.12198 3.08223
0.2400 1.12052 3.08183
0.2500 1.11905 3.08141
0.2600 1.11758 3.08097
0.2700 1.1161 3.08052
0.2800 1.11463 3.08005
0.2900 1.11314 3.07956
0.3000 1.11166 3.07906
0.3100 1.11017 3.07854
0.3200 1.10868 3.078
0.3300 1.10718 3.07745
0.3400 1.10568 3.07687
0.3500 1.10418 3.07628
0.3600 1.10267 3.07568
0.3700 1.10116 3.07506
0.3800 1.09965 3.07442
0.3900 1.09814 3.07376
0.4000 1.09662 3.07309
0.4100 1.09509 3.0724
0.4200 1.09357 3.07169
0.4300 1.09204 3.07096
0.4400 1.09051 3.07022
0.4500 1.08897 3.06946
0.4600 1.08744 3.06869
0.4700 1.08589 3.0679
0.4800 1.08435 3.06709
0.4900 1.0828 3.06626
0.5000 1.08125 3.06542
0.5100 1.0797 3.06456
0.5200 1.07814 3.06368
0.5300 1.07658 3.06279
0.5400 1.07501 3.06188
0.5500 1.07345 3.06095
0.5600 1.07188 3.06
0.5700 1.07031 3.05904
0.5800 1.06873 3.05807
0.5900 1.06715 3.05707
0.6000 1.06557 3.05606
0.6100 1.06398 3.05503
0.6200 1.0624 3.05398
0.6300 1.06081 3.05292
0.6400 1.05921 3.05184
0.6500 1.05762 3.05075
0.6600 1.05602 3.04963
0.6700 1.05441 3.0485
0.6800 1.05281 3.04736
0.6900 1.0512 3.04619
0.7000 1.04959 3.04501
0.7100 1.04798 3.04382
0.7200 1.04636 3.0426
0.7300 1.04474 3.04137
0.7400 1.04312 3.04012
0.7500 1.04149 3.03886
0.7600 1.03986 3.03758
0.7700 1.03823 3.03628
0.7800 1.0366 3.03497
0.7900 1.03496 3.03363
0.8000 1.03332 3.03229
0.8100 1.03168 3.03092
0.8200 1.03004 3.02954
0.8300 1.02839 3.02814
0.8400 1.02674 3.02672
0.8500 1.02509 3.02529
0.8600 1.02343 3.02384
0.8700 1.02178 3.02238
0.8800 1.02012 3.0209
0.8900 1.01845 3.0194
0.9000 1.01679 3.01788
0.9100 1.01512 3.01635
0.9200 1.01345 3.0148
0.9300 1.01178 3.01323
0.9400 1.0101 3.01165
0.9500 1.00843 3.01005
0.9600 1.00674 3.00844
0.9700 1.00506 3.0068
0.9800 1.00338 3.00515
0.9900 1.00169 3.00349
1.0000 1 3.00181
